# {"t_start": 1574979765.983704} 
r,l,t
209.07133,201,28.729282
235.30511,201,28.729304
175.64465,201,29.231143
232.0947,201,29.23124
224.51347,201,29.231279
208.87564,201,29.231309
214.87912,201,29.23135
229.23322,201,29.231398
230.74805,201,29.231444
205.75513,201,29.231475
215.7193,201,29.231501
228.5661,201,29.231532
225.02654,201,29.231557
214.90915,201,29.231582
232.13109,201,29.729048
177.80692,201,29.729136
182.54787,201,29.729172
221.74937,201,29.729201
236.0691,201,29.729227
175.58208,201,29.729253
222.15793,201,29.729278
221.08363,201,29.729303
223.14122,201,29.729328
232.58528,201,29.729352
214.40474,201,29.729396
220.93918,201,29.729421
176.83037,201,30.224779
177.70103,201,30.224862
220.56702,201,30.224896
225.57668,201,30.224922
216.5496,201,30.224946
223.54083,201,30.224968
176.02548,201,30.22499
211.11821,201,30.225012
212.28549,201,30.225034
212.71996,201,30.225055
180.39377,201,30.225077
178.11389,201,30.225098
211.86002,201,30.722688
173.82622,201,30.72277
202.54445,201,30.722805
173.83318,201,30.72283
224.36604,201,30.722854
235.25519,201,30.722876
217.14734,201,30.722898
209.83266,201,30.72292
174.88097,201,30.722941
221.89583,201,30.722963
179.09349,201,30.722985
177.54248,201,30.723006
241.94707,201,31.222246
213.40506,201,31.222329
226.62529,201,31.222362
223.79842,201,31.222388
209.8939,201,31.222413
181.39134,201,31.222436
210.83441,201,31.222459
177.79086,201,31.222482
222.7522,201,31.222504
219.22412,201,31.222527
215.4099,201,31.222549
177.12872,201,31.222581
211.68094,201,31.712911
221.87405,201,31.712991
175.84167,201,31.713021
173.50478,201,31.713046
223.87694,201,31.713069
177.58109,201,31.713091
178.03934,201,31.713113
232.23795,201,31.713134
222.57048,201,31.713156
210.57968,201,31.713177
220.70543,201,31.713199
226.02338,201,31.71322
242.76332,201,32.205753
176.53123,201,32.205835
217.2735,201,32.205867
209.41022,201,32.205891
211.63902,201,32.205914
218.22754,201,32.205936
210.49492,201,32.205958
222.3072,201,32.205987
214.61588,201,32.206011
178.23701,201,32.206033
238.50334,201,32.206054
210.3925,201,32.206076
236.40459,201,32.710396
179.13953,201,32.710479
204.9397,201,32.710512
224.30498,201,32.710537
176.92825,201,32.710562
231.5454,201,32.710584
212.84557,201,32.710607
237.00827,201,32.710628
222.53598,201,32.71065
222.9399,201,32.710672
220.20538,201,32.710693
240.47339,201,32.710715
205.88358,201,33.205569
231.30876,201,33.205651
174.7399,201,33.205684
229.35034,201,33.205709
178.42473,201,33.205733
228.99966,201,33.205755
217.94733,201,33.205777
177.73206,201,33.205808
180.37006,201,33.205832
229.6239,201,33.205854
227.35689,201,33.205875
229.94005,201,33.205897
175.99794,201,33.697427
200.50288,201,33.697512
174.38675,201,33.697551
175.27022,201,33.697589
211.60057,201,33.69762
206.95712,201,33.697645
179.06595,201,33.69767
207.96786,201,33.697693
174.65782,201,33.697717
222.89914,201,33.69775
222.54419,201,33.697772
173.69193,201,33.697794
226.86711,201,34.206712
179.11824,201,34.206795
173.59865,201,34.206829
217.22914,201,34.206855
213.50682,201,34.206878
223.10754,201,34.206901
226.35573,201,34.206923
234.272,201,34.206946
177.85684,201,34.206968
223.35457,201,34.206989
215.15619,201,34.207011
174.2668,201,34.207033
224.42166,201,34.728987
211.92076,201,34.729066
226.60992,201,34.7291
233.06247,201,34.729126
224.07005,201,34.729159
220.6075,201,34.729182
213.14366,201,34.729205
221.80927,201,34.729227
175.62178,201,34.729249
226.68141,201,34.729272
199.92938,201,34.729293
211.11015,201,34.729315
200.78165,201,35.227038
223.96097,201,35.227122
209.85548,201,35.227152
211.95029,201,35.227176
178.28474,201,35.227199
224.74144,201,35.227221
204.23764,201,35.227242
214.76851,201,35.227264
214.58151,201,35.227285
223.82956,201,35.227306
243.45271,201,35.227327
208.50685,201,35.227348
220.21408,201,35.731914
211.72195,201,35.731995
224.51189,201,35.732027
177.70204,201,35.732053
208.69508,201,35.732077
206.85338,201,35.7321
233.77533,201,35.732124
212.0109,201,35.732146
213.04887,201,35.732169
176.12689,201,35.732191
217.51216,201,35.732213
218.08882,201,35.732235
175.72601,201,36.230615
202.26578,201,36.230699
228.328,201,36.230737
223.21121,201,36.230764
213.3753,201,36.230788
208.37987,201,36.23081
215.54507,201,36.230832
174.49734,201,36.23086
175.22226,201,36.230884
224.47672,201,36.230907
213.82747,201,36.230928
221.92195,201,36.23095
180.26959,201,36.724107
175.85118,201,36.724192
176.85635,201,36.724228
211.35019,201,36.724254
222.18039,201,36.724277
178.6135,201,36.7243
175.44339,201,36.724322
176.09596,201,36.724368
220.78595,201,36.724393
229.76932,201,36.724415
226.93527,201,36.724436
230.23773,201,36.724458
207.9901,201,37.221069
221.8262,201,37.221151
214.1367,201,37.221185
217.54149,201,37.221211
178.75964,201,37.221235
217.26476,201,37.221259
238.52934,201,37.221282
209.39798,201,37.221314
230.10648,201,37.221339
230.3473,201,37.221361
222.758,201,37.221383
215.5252,201,37.221405
221.11143,201,37.719072
228.95868,201,37.719154
231.01431,201,37.719184
216.71873,201,37.719208
174.75537,201,37.719231
173.66241,201,37.719253
177.5042,201,37.719275
210.04414,201,37.719297
221.29294,201,37.719318
231.86765,201,37.71934
214.95619,201,37.719361
176.29848,201,37.719383
175.36476,201,38.216937
209.67041,201,38.21702
222.08852,201,38.217054
240.29199,201,38.217081
208.29144,201,38.217107
207.1773,201,38.217132
205.02696,201,38.217156
219.21123,201,38.217188
218.58635,201,38.217213
177.55151,201,38.217236
224.91632,201,38.217258
180.57637,201,38.217279
231.4189,201,38.707346
176.87982,201,38.707426
217.81088,201,38.707455
173.50919,201,38.70748
231.60532,201,38.707503
232.97609,201,38.707533
212.6706,201,38.707555
223.4013,201,38.707576
178.22293,201,38.707597
176.32475,201,38.707619
208.5114,201,38.70764
177.70103,201,38.707662
219.62218,201,39.200217
208.38354,201,39.200299
211.51805,201,39.200332
213.77206,201,39.200358
232.28093,201,39.200382
230.97044,201,39.200406
216.89192,201,39.200429
221.25362,201,39.200451
243.16386,201,39.200474
222.62679,201,39.200496
216.06284,201,39.200518
178.93306,201,39.20054
179.73355,201,39.696322
178.56233,201,39.696404
177.24185,201,39.696434
212.27399,201,39.696457
231.70999,201,39.69648
216.67621,201,39.696502
214.01355,201,39.696524
236.07175,201,39.696545
178.40114,201,39.696567
220.44035,201,39.696588
212.00632,201,39.69661
178.61868,201,39.696631
223.41074,201,40.185655
181.5057,201,40.185737
178.21732,201,40.185767
174.07336,201,40.185791
176.29509,201,40.185815
216.29715,201,40.185837
221.23048,201,40.185859
222.84714,201,40.18588
242.26358,201,40.185902
178.43636,201,40.185924
174.79704,201,40.185945
179.11719,201,40.185967
221.8641,201,40.690924
213.74054,201,40.691007
216.55115,201,40.691047
214.72417,201,40.691075
222.3986,201,40.691101
216.8458,201,40.691127
230.01839,201,40.691159
223.01596,201,40.691188
208.38857,201,40.691212
173.81166,201,40.691235
221.95264,201,40.691259
219.92455,201,40.691282
211.42409,201,41.185046
216.82751,201,41.185128
177.8146,201,41.185159
173.5351,201,41.185183
204.02882,201,41.185206
224.84644,201,41.185228
178.19733,201,41.18525
224.18085,201,41.185271
216.62386,201,41.185293
228.865,201,41.185314
209.45592,201,41.185336
224.91267,201,41.185357
210.30531,201,41.679053
215.84746,201,41.679134
215.85403,201,41.679164
229.75137,201,41.679189
175.10838,201,41.679212
219.83286,201,41.679234
220.6798,201,41.679256
231.92778,201,41.679278
219.57246,201,41.679299
237.79277,201,41.679321
211.49101,201,41.679342
221.08401,201,41.679363
176.12386,201,42.1707
215.6206,201,42.170783
224.11671,201,42.170817
222.00943,201,42.170844
179.21698,201,42.170867
221.82666,201,42.17089
177.6775,201,42.170912
238.80014,201,42.170942
237.57216,201,42.170967
230.06227,201,42.170989
175.71439,201,42.17101
199.82831,201,42.171032
223.97758,201,42.668182
176.1614,201,42.668265
213.65694,201,42.668298
217.0358,201,42.668324
175.50774,201,42.668348
211.7289,201,42.66837
221.93741,201,42.668393
210.62056,201,42.668415
223.86426,201,42.668437
239.02606,201,42.668459
173.83923,201,42.66848
230.0334,201,42.668502
217.85991,201,43.162407
212.51416,201,43.162487
222.77885,201,43.162518
218.67497,201,43.162543
210.59032,201,43.162565
219.91312,201,43.162587
179.35362,201,43.162609
173.76935,201,43.162634
212.78598,201,43.162657
224.8835,201,43.162679
178.58307,201,43.1627
175.40562,201,43.162721
222.45047,201,43.657361
199.99887,201,43.657442
224.08134,201,43.657473
210.13963,201,43.657498
217.0732,201,43.65752
208.90346,201,43.657566
234.80554,201,43.657591
222.32956,201,43.657614
174.85408,201,43.657636
215.43794,201,43.657657
214.88364,201,43.657679
237.73083,201,43.6577
